Artist,Title,Release Date,Popularity,Category
YUNGBLUD,When We Die (Can We Still Get High?) (feat. Lil Yachty),2024-01-26 00:00:00,68,Hot
Russ,Drives,2024-01-26 00:00:00,66,Hot
Cheat Codes,Head Up,2024-01-26 00:00:00,66,Hot
Armin van Buuren,Forever (Stay Like This),2024-01-12 00:00:00,64,Hot
Dove Cameron,White Glove,2023-12-01 00:00:00,63,Hot
Natasha Bedingfield,Unwritten,2004-08-30 00:00:00,95,Gold
Billie Eilish,lovely (with Khalid),2018-04-19 00:00:00,91,Gold
a-ha,Take on Me,1985-06-01 00:00:00,90,Gold
Avicii,The Nights,2014-01-01 00:00:00,89,Gold
Harry Styles,Watermelon Sugar,2019-12-13 00:00:00,89,Gold
Imagine Dragons,Demons,2012-09-04 00:00:00,88,Gold
Taylor Swift,...Ready For It?,2017-11-10 00:00:00,88,Gold
The Chainsmokers,Closer,2016-07-29 00:00:00,87,Gold
Mark Ronson,Uptown Funk (feat. Bruno Mars),2015-01-12 00:00:00,86,Gold
One Direction,Story of My Life,2013-11-25 00:00:00,86,Gold
Lady Gaga,Always Remember Us This Way,2018-10-05 00:00:00,86,Gold
Britney Spears,Toxic,2003-11-13 00:00:00,86,Gold
P!nk,Just Give Me a Reason (feat. Nate Ruess),2012-09-18 00:00:00,86,Gold
Creeds,Push Up - Main Edit,2023-03-31 00:00:00,86,Gold
Christina Perri,a thousand years,2011-10-18 00:00:00,86,Gold
Lynyrd Skynyrd,Sweet Home Alabama,1974-04-15 00:00:00,85,Gold
The Weeknd,Die For You (with Ariana Grande) - Remix,2023-03-14 00:00:00,85,Gold
Coldplay,Adventure of a Lifetime,2015-12-04 00:00:00,84,Gold
Calvin Harris,Miracle (with Ellie Goulding),2023-03-10 00:00:00,84,Gold
Chance Peña,In My Room,2022-05-06 00:00:00,84,Gold
Zara Larsson,Lush Life,2017-03-17 00:00:00,84,Gold
The Cardigans,Lovefool,1996-01-01 00:00:00,83,Gold
Pharrell Williams,"Happy - From ""Despicable Me 2""",2014-03-03 00:00:00,83,Gold
The Lumineers,Ophelia,2016-04-08 00:00:00,83,Gold
Starship,Nothing's Gonna Stop Us Now,1987-07-27 00:00:00,83,Gold
Britney Spears,Oops!...I Did It Again,2000-05-16 00:00:00,83,Gold
Sia,Chandelier,2014-07-04 00:00:00,83,Gold
Bruno Mars,Grenade,2010-10-05 00:00:00,83,Gold
Alan Walker,Faded,2018-12-14 00:00:00,82,Gold
Imagine Dragons,On Top Of The World,2012-09-04 00:00:00,82,Gold
Bryan Adams,Heaven,1984-11-05 00:00:00,82,Gold
Tiësto,10:35,2023-04-21 00:00:00,82,Gold
Alessia Cara,Scars To Your Beautiful,2015-11-13 00:00:00,82,Gold
Sean Paul,Get Busy,2022-11-11 00:00:00,81,Gold
50 Cent,Just A Lil Bit,2005-03-03 00:00:00,81,Gold
Meek Mill,Going Bad (feat. Drake),2018-11-30 00:00:00,81,Gold
Sam Smith,Unholy (feat. Kim Petras),2023-01-27 00:00:00,81,Gold
Purple Disco Machine,Substitution (feat. Julian Perretta),2023-03-30 00:00:00,81,Gold
Rema,Calm Down (with Selena Gomez),2023-04-27 00:00:00,81,Gold
Aqua,Barbie Girl,1997-01-01 00:00:00,80,Gold
Nelly,Ride Wit Me,2000-06-27 00:00:00,80,Gold
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),2022-04-08 00:00:00,80,Gold
Joel Corry,Head & Heart (feat. MNEK),2020-07-03 00:00:00,80,Gold
blackbear,hot girl bummer,2020-08-21 00:00:00,80,Gold
Eiffel 65,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,1999-01-01 00:00:00,79,Gold
Jonas Blue,Fast Car,2018-11-09 00:00:00,79,Gold
J. Cole,She Knows (feat. Amber Coffman & Cults),2013-06-18 00:00:00,79,Gold
Hozier,Work Song,2014-07-20 00:00:00,79,Gold
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,2013-02-01 00:00:00,78,Gold
Beyoncé,BREAK MY SOUL,2022-07-29 00:00:00,77,Gold
Labrinth,Jealous,2014-11-23 00:00:00,77,Gold
JP Saxe,If the World Was Ending (feat. Julia Michaels),2021-06-25 00:00:00,77,Gold
Alicia Keys,No One,2007-10-09 00:00:00,77,Gold
Benson Boone,Before You,2022-10-28 00:00:00,76,Gold
Phoebe Bridgers,I Know The End,2020-06-18 00:00:00,76,Gold
Fred again..,Delilah (pull me out of this),2022-09-06 00:00:00,76,Gold
Jonas Blue,Mama,2018-11-09 00:00:00,76,Gold
Sara Bareilles,Love Song,2007-07-03 00:00:00,76,Gold
Sia,Cheap Thrills (feat. Sean Paul),2016-02-18 00:00:00,76,Gold
Little Mix,Love Me Like You,2015-11-06 00:00:00,75,Gold
Tina Turner,The Best,1989-09-13 00:00:00,75,Gold
James Bay,Us,2018-05-18 00:00:00,75,Gold
Shawn Mendes,If I Can't Have You,2019-06-19 00:00:00,75,Gold
Armin van Buuren,This Is What It Feels Like,2013-05-03 00:00:00,75,Gold
Sia,Unstoppable - R3HAB Remix,2022-07-08 00:00:00,74,Gold
The Buggles,Video Killed The Radio Star,1980-01-10 00:00:00,74,Gold
Nicki Minaj,Super Freaky Girl,2022-08-26 00:00:00,74,Gold
Lizzo,Juice,2019-04-19 00:00:00,74,Gold
twocolors,Heavy Metal Love,2022-07-08 00:00:00,74,Gold
loafers,Lay All Your Love On Me,2022-06-30 00:00:00,74,Gold
Meghan Trainor,Lips Are Movin,2015-01-09 00:00:00,73,Gold
LOSTBOYJAY,COULD BE WRONG,2022-12-02 00:00:00,73,Gold
Lady Gaga,Judas,2011-01-01 00:00:00,73,Gold
Klangkarussell,Sonnentanz - Sun Don't Shine,2014-01-01 00:00:00,73,Gold
Luis Fonsi,Despacito - Remix,2019-02-01 00:00:00,73,Gold
LUM!X,Monster,2019-04-19 00:00:00,73,Gold
T.I.,Dead And Gone,2008-09-07 00:00:00,72,Gold
The Head And The Heart,Rivers and Roads,2011-01-11 00:00:00,72,Gold
Nick Jonas,Jealous - Remix,2015-11-20 00:00:00,72,Gold
Jon Pardi,Heartache Medication,2019-09-27 00:00:00,72,Gold
Scotty McCreery,Five More Minutes,2018-01-12 00:00:00,72,Gold
Jax,Victoria's Secret,2022-06-30 00:00:00,72,Gold
Teddy Swims,You're Still The One,2020-07-17 00:00:00,72,Gold
Sam Smith,How Do You Sleep?,2020-10-30 00:00:00,71,Gold
Phoebe Bridgers,Funeral,2017-09-22 00:00:00,71,Gold
Lizzy McAlpine,hate to be lame,2022-04-08 00:00:00,71,Gold
Iggy Azalea,Fancy,2014-01-01 00:00:00,71,Gold
Spandau Ballet,True - 2003 Remaster,1983-02-25 00:00:00,71,Gold
Olly Murs,Up (feat. Demi Lovato),2014-11-24 00:00:00,71,Gold
Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),2012-04-02 00:00:00,71,Gold
Swedish House Mafia,Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,2022-09-12 00:00:00,70,Gold
Vance Joy,Fire and the Flood,2014-09-09 00:00:00,70,Gold
Dustin Lynch,Small Town Boy,2017-09-08 00:00:00,70,Gold
Sigala,Easy Love,2018-09-28 00:00:00,70,Gold
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),2016-05-27 00:00:00,70,Gold
Sean Paul,Got 2 Luv U (feat. Alexis Jordan),2012-01-24 00:00:00,70,Gold
Alex LeMirage,Kratos (A Little Closer),2023-03-24 00:00:00,70,Gold
Selena Gomez,Good For You,2015-10-09 00:00:00,69,Gold
Caamp,Lavender Girl,2022-06-24 00:00:00,69,Gold
