Artist,Title,Release Date,Popularity,Category
Dua Lipa,Houdini,2023-11-09 00:00:00,95,Recurrent
Teddy Swims,Lose Control,2023-09-15 00:00:00,94,Recurrent
Ofenbach,Overdrive (feat. Norma Jean Martine),2023-10-06 00:00:00,89,Recurrent
Peggy Gou,(It Goes Like) Nanana - Edit,2023-06-15 00:00:00,88,Recurrent
David Guetta,When We Were Young (The Logical Song),2023-11-10 00:00:00,88,Recurrent
